"Sol";"Site";"pH";"Eau";"Av.P";"C";"N";"NO3";"NH4";"Exc.Ac";"Exc.Al";"Exc.Ca";"Exc.Mg";"Exc.K";"Exc.Na";"Exc.Cations";"SatBase";"Argile";"Limon";"Sable"
"Grès";"292-23_I";4.72;3.49;4.28;1.26;0.11;0;6.71;4.97;4.07;0.15;0.25;0.24;0.07;5.68;12.5;27;10;63
"Alluvial";"292-11_A";4.58625698324022;2.76;7.02;0.91;0.12;10.13;2.43;3.96;3.6;0.32;0.18;0.21;0.06;4.73;16.36;27;19;54
"Alluvial";"292-11_B";4.67;3.39;4.54;0.96;0.14;1.84;3.39;4.14;3.83;0.91;0.87;0.16;0.06;6.14;32.53;33;24;43
"Alluvial";"292-11_H";4.84;4.12;4.2;0.96;0.12;2.95;3.21;5.48;4.95;1.42;1.79;0.22;0.07;8.98;39.02;37;32;31
"Alluvial";"292-11_M";4.57;3.9;6.82;1.25;0.15;11.58;13.39;5.05;4.63;0.87;1.61;0.19;0.08;7.79;35.2;37;24;39
"Alluvial";"292-11_N";4.67;4.41;3.22;0.94;0.13;9.85;1.3;7.17;6.49;0.69;1.6;0.22;0.06;9.74;26.4;46;25;29
"Alluvial";"292-11_O";4.69;3.95;8.2;1.64;0.18;16.79;1.29;3.64;3.28;1.19;2.21;0.42;0.05;7.51;51.46;37;23;40
"Alluvial";"292-11_R";5.05;5.13;7.66;2.09;0.25;15.63;10.26;1.21;0.98;6.7;5;0.56;0.07;13.54;91.05;47;37;15
"Alluvial";"292-12_M";3.99;5.04;9.06;2.88;0.25;22.51;7.61;4.32;4.16;1.57;2.2;0.27;0.06;8.41;48.67;36;38;26
"Alluvial";"292-12_P";4.43;4.05;14.84;2.15;0.21;21.89;13.01;4.22;3.65;0.58;1.44;0.37;0.08;6.7;37.01;28;33;38
"Alluvial";"292-12_T";4.33;5.21;9.94;2.54;0.26;23.6;2.28;4.04;3.32;3.5;2.03;0.51;0.07;10.14;60.21;49;28;23
"Alluvial";"292-12_U";4.35;3.07;13.84;1.64;0.18;9.05;5.65;2.97;2.37;1.05;0.22;0.14;0.03;4.4;32.55;18;12;70
"Alluvial";"292-12_W";4.33;6.57;8.27;2.55;0.28;15.86;2.35;8.13;7.28;1.41;2.18;0.42;0.07;12.22;33.42;47;33;20
"Alluvial";"292-12_Y";4.25;3.99;11.78;1.59;0.17;13.83;1.38;5.29;4.74;0.27;1.1;0.41;0.06;7.13;25.87;38;26;36
"Alluvial";"292-13_K";4.32;3.68;6.67;1.65;0.19;11.59;4.44;5.04;4.36;0.89;0.3;0.17;0.03;6.44;21.79;35;32;34
"Alluvial";"292-13_P";4.32;5.29;7.6;2.05;0.24;16.22;0.87;8.02;7.23;1.21;0.64;0.22;0.05;10.15;20.96;42;27;31
"Alluvial";"292-13_U";4.43;3.92;9.82;2;0.23;11.73;8.48;3.54;2.91;0.78;1.78;0.41;0.08;6.59;46.32;29;47;24
"Alluvial";"292-14_I";3.93;2.73;11.31;1.56;0.17;16.24;1.92;3.6;2.98;0.35;0.15;0.15;0.03;4.28;15.91;23;18;59
"Alluvial";"292-14_R";4.78;5.27;8.62;2.67;0.25;17.07;7.31;2.8;2.27;6.26;4.47;0.51;0.07;14.11;80.17;46;34;20
"Alluvial";"292-14_S";4.76;6.18;6.08;3.03;0.24;17.17;3.66;1.12;0.96;13.49;2.22;0.37;0.1;17.3;93.53;43;38;20
